Representación,Modelo,Accuracy,Precision (macro),Recall (macro),F1-score (macro),CV Score,Val Score
combined_unigram_sentiment,Multinomial Naive Bayes,0.5379724478982691,0.5356059763676165,0.5379577296638612,0.5360650787117271,0.5271407293583927,0.5203108442246556
ngram_unigram_bigram,Multinomial Naive Bayes,0.5358530554574356,0.5333809853434821,0.5358481612220396,0.532990089084413,0.5318784558606524,0.5323207347227128
combined_unigram_bigram_sentiment,Multinomial Naive Bayes,0.5362062875309078,0.5315921052799428,0.5361891053566029,0.5325595466267921,0.5305739025527496,0.5266690215471564
ngram_unigram,Multinomial Naive Bayes,0.5332038149063935,0.5326023087894757,0.533199669010985,0.5322431879683788,0.5282690001698269,0.5266690215471564
combined_unigram_bigram_trigram_sentiment,Multinomial Naive Bayes,0.5360296714941717,0.5312296355793085,0.5360124581211321,0.5321864395607802,0.529780201748754,0.5256093253267397
ngram_unigram_bigram_trigram,Multinomial Naive Bayes,0.5347933592370188,0.5320153472684925,0.5347879971197519,0.531555326912752,0.5301818644491123,0.5294948781349347
ngram_unigram_bigram,Random Forest,0.531261038502296,0.5283712594279592,0.5312522455157052,0.5295331323229561,0.5158265809248271,0.5291416460614624
ngram_unigram_bigram_trigram,Random Forest,0.5298481102084069,0.5277459706394091,0.5298398161371741,0.5285963091567557,0.5164956592822532,0.5266690215471564
combined_unigram_bigram_sentiment,Random Forest,0.5340868950900742,0.5236815129000515,0.5340684964625643,0.5235426473993193,0.5113183843149021,0.5263157894736842
combined_unigram_bigram_trigram_sentiment,Random Forest,0.5335570469798657,0.5240792979875198,0.5335388354456151,0.5225951396192213,0.5089078409920045,0.5333804309431296
ngram_unigram,Random Forest,0.5231367008124338,0.5194149081513865,0.5231289988892182,0.5208795187613869,0.5149754975601042,0.5160720593429884
combined_unigram_sentiment,Random Forest,0.5241963970328506,0.5136380860469694,0.5241812101233836,0.5138383926637023,0.5118431352630777,0.5213705404450724
combined_unigram_bigram_sentiment,SVM (LinearSVC),0.5072412575061815,0.5040202916706025,0.5072287828706074,0.5049417754542005,0.47643072682829796,0.5008830801836807
combined_unigram_bigram_trigram_sentiment,SVM (LinearSVC),0.5063581773225009,0.5029263222574168,0.5063455466932535,0.5040292926991871,0.4739113416936026,0.5054750971388202
combined_unigram_sentiment,SVM (LinearSVC),0.5035323207347228,0.50081920972476,0.5035187231099495,0.5014407419172743,0.47436180385568394,0.4906393500529848
combined_unigram_bigram_sentiment,SVM (RBF),0.4924055104203462,0.502397463803705,0.49238966658582806,0.4929370888984492,0.49381611870963765,0.49911691981631934
combined_unigram_bigram_trigram_sentiment,SVM (RBF),0.49275874249381846,0.5016304791036018,0.4927421189883802,0.4928924778681884,0.49562726557043274,0.49982338396326387
ngram_unigram_bigram,SVM (LinearSVC),0.48851995761215117,0.49128120809264103,0.4885164326839302,0.48971906390092207,0.47204930905869913,0.48922642175909575
ngram_unigram_bigram_trigram,SVM (LinearSVC),0.4871070293182621,0.49048804216572317,0.48710362905278154,0.4885266353787636,0.4695763242478863,0.49629106322854116
ngram_unigram,SVM (LinearSVC),0.486930413281526,0.48938001588282704,0.48692445561214254,0.48796613372552944,0.46971110004538075,0.49275874249381846
ngram_unigram_bigram_trigram,SVM (RBF),0.479159307665136,0.4933475519156197,0.4791433694412259,0.4792719842890227,0.4727250294400439,0.48039561992228896
ngram_unigram_bigram,SVM (RBF),0.4788060755916637,0.49426312062675765,0.47879119772813694,0.4792028909659754,0.4669502928307242,0.4828682444365948
sentiment,Random Forest,0.4894030377958319,0.4762241317509437,0.4893801141620185,0.4753936822977551,0.47555752805890944,0.47898269162839985
ngram_unigram,SVM (RBF),0.46909219357117626,0.4807542455914149,0.46907672253509736,0.4690742634013341,0.4727321734188742,0.46803249735075947
sentiment,SVM (RBF),0.48322147651006714,0.4730890913978429,0.4831854848367809,0.4655393090098938,0.47575649685908694,0.47368421052631576
combined_unigram_sentiment,SVM (RBF),0.4645001766160367,0.4621502567393591,0.464489414638966,0.4626590009693192,0.490380684603974,0.4800423878488167
sentiment,SVM (LinearSVC),0.48675379724478984,0.4738060919575348,0.48671103805700017,0.44307331023955787,0.4363631325777047,0.4747439067467326
sentiment,Multinomial Naive Bayes,0.44418933239138114,0.42597399826696564,0.4441579540657307,0.41043071297146433,0.4064712325346112,0.4433062522077005
